representation,state_fips,state_name,experiment_id,representation_type,feature_dim,test_n,test_r2,test_rmse,test_mae,selected_alpha,validation_rmse,split_path
terramind_s2_6,19,Iowa,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,292,0.6398663124290309,12.28884485224038,9.591238082191781,100.0,24.216229570008476,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,20,Kansas,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,192,0.5323290427157753,24.899819931947615,17.859858671875,100.0,16.30043355695813,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,21,Kentucky,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,66,-0.07457862759813794,15.097304031089006,12.625893939393938,100.0,18.10435542302224,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,26,Michigan,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,66,-0.02085991482554639,18.56529395147994,13.795001212121212,100.0,16.00675946252823,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,27,Minnesota,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,154,0.7326104789707057,15.827062588168786,12.134332766233767,100.0,15.869788677068636,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,29,Missouri,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,116,0.4032874319461708,15.615239398196104,11.940147931034481,100.0,20.14040293462655,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,31,Nebraska,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,216,0.5857134091229321,20.05239888998903,15.241357569444446,100.0,22.749960004158854,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,38,North Dakota,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,88,0.6420939820358744,22.47405004280906,17.839547363636367,100.0,15.255226966379684,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,39,Ohio,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,177,0.07217551258465527,15.618076962775872,11.804008305084745,100.0,18.909876984705825,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,46,South Dakota,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,110,0.7596758285892459,18.823967192355315,15.194339872727276,100.0,15.871120785113758,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,55,Wisconsin,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,143,0.41929801752102747,15.849600742766382,12.572951188811189,100.0,13.544442657941026,outputs/cohort_covered/loso_state_tabular.csv
